Time, 01/02/2024 15:05:52, X, -297369.7369101366 , Y, -3483106.470537965 , Z,    5326272.763806465 , Lat, 13.55635667         , Lon, 80.02544433           , Alt, 0                  , Bx, [0.07111624] , [0.83298807] , [0.54870152] , By, [0.99637537] , [-0.08506541], [0.]         , Bz, [0.04667552] , [0.54671268] , [-0.83601833]
Time, 01/02/2024 15:05:53, X, -297482.0032500565 , Y, -3482843.8601207836, Z,    5326030.479598612 , Lat,  0.9899982715695806 , Lon, -1.6560030548404887   , Alt, -340.8845040118322 , Bx, [0.48036818] , [0.6074823]  , [0.63262285] , By, [0.469571]   , [-0.75226869], [0.46216328] , Bz, [-0.31845032], [0.67674691] , [-0.66377934]
Time, 01/02/2024 15:05:54, X, -298473.6767371569 , Y, -3483448.456815092 , Z,    5324845.84540225  , Lat,  0.9898060776646531 , Lon, -1.65627095117061     , Alt, -954.2415858544409 , Bx, [0.17583951] , [0.5288894]  , [-0.83027494], By, [-0.92687614], [0.37461852] , [-0.02369779], Bz, [-0.55309222], [-0.63639111], [-0.53767588]
Time, 01/02/2024 15:05:55, X, -296584.57063351135, Y, -3482172.3691969016, Z,    5322636.607729647 , Lat,  0.9898036754304314 , Lon, -1.6557635460563276   , Alt, -3587.0815314641222, Bx, [0.21660198] , [-0.05434646], [-0.97474614], By, [-0.4420289] , [0.8330561]  , [-0.33260784], Bz, [0.84757679] , [0.48686811] , [-0.21112324]
Time, 01/02/2024 15:05:56, X, -297928.35772023525, Y, -3478084.159420158 , Z,    5315534.125342458 , Lat,  0.9897110844774728 , Lon, -1.656246494172258    , Alt, -11697.069330357015, Bx, [-0.64297466], [-0.41733358], [0.64219644] , By, [0.07715622] , [0.85467272] , [0.51340185] , Bz, [-0.38545035], [0.53113457] , [-0.75453568]
Time, 01/02/2024 15:05:57, X, -294554.87999376137, Y, -3482788.449576851 , Z,    5312287.541666183 , Lat,  0.9888523021281557 , Lon, -1.6551699779959606   , Alt, -11992.460519031622, Bx, [-0.36909003], [-0.92741569], [-0.06060272], By, [-0.95027032], [0.10097794] , [0.29460103] , Bz, [0.414428]   , [-0.8244807] , [0.38533233]
Time, 01/02/2024 15:05:58, X, -287145.8797964222 , Y, -3495169.163964508 , Z,    5314410.811683463 , Lat,  0.9874975841505582 , Lon, -1.6527673112689243   , Alt, -3769.635363386944 , Bx, [0.40819375] , [0.71912751] , [-0.56234641], By, [-0.72090388], [-0.50729189], [0.4721785]  , Bz, [0.31049454] , [-0.76137875], [0.56911822]
Time, 01/02/2024 15:05:59, X, -280624.08611409203, Y, -3502368.2318948377, Z,    5295233.561852727 , Lat,  0.9849623362113382 , Lon, -1.65074961746663     , Alt, -16093.896518606693, Bx, [-0.28922041], [-0.1002557] , [0.95199808] , By, [0.30156485] , [-0.66332362], [0.68487986] , Bz, [0.00387807] , [0.15769733] , [-0.98747988]
Time, 01/02/2024 15:06:00, X, -292036.1540954089 , Y, -3515273.9860479045, Z,    5270035.412607845 , Lat,  0.9809533256346161 , Lon, -1.6536823484659644   , Alt, -29414.27067135647 , Bx, [0.77271637] , [0.60338073] , [-0.1970815] , By, [-0.51258843], [0.74337379] , [-0.42970747], Bz, [-0.88500426], [-0.1869047] , [-0.42642009]
Time, 01/02/2024 15:06:01, X, -329087.29601614224, Y, -3530652.0662514414, Z,    5234787.727192784 , Lat,  0.9754114268518657 , Lon, -1.663736442822322    , Alt, -48278.670533313416, Bx, [0.76871841] , [0.26922943] , [0.58016163] , By, [-0.42926238], [-0.22736575], [-0.87409303], Bz, [-0.946137]  , [-0.0570084] , [-0.31870805]
Time, 01/02/2024 15:06:02, X, -338794.12318651786, Y, -3537874.59285143  , Z,    5167771.435516871 , Lat,  0.9683491474706039 , Lon, -1.666267252339745    , Alt, -99062.52403665241 , Bx, [0.35682942] , [0.73466406] , [0.57701082] , By, [0.14488691] , [-0.98941469], [0.00814574] , Bz, [0.52045573] , [0.28515632] , [-0.80486751]
Time, 01/02/2024 15:06:03, X, -314931.7570814388 , Y, -3577661.139262874 , Z,    5100296.299312476 , Lat,  0.95727455757245   , Lon, -1.6585972833866274   , Alt, -133062.55403353088, Bx, [-0.0208587] , [-0.95368156], [-0.30009398], By, [0.19623731] , [0.83359385] , [0.51634505] , Bz, [0.88548033] , [-0.46121429], [-0.05662121]
Time, 01/02/2024 15:06:04, X, -355454.4293993903 , Y, -3629289.423425485 , Z,    5019638.9778949125, Lat,  0.9425203852678659 , Lon, -1.6684254596755048   , Alt, -166576.97777064703, Bx, [0.39559467] , [-0.60514396], [0.6908731]  , By, [-0.50626122], [0.52590012] , [-0.6834681] , Bz, [-0.93300489], [-0.30472506], [-0.19142756]
Time, 01/02/2024 15:06:05, X, -439378.3681506038 , Y, -3654770.1021919968, Z,    4938563.925212902 , Lat,  0.9302612199975022 , Lon, -1.6904426383430309   , Alt, -211469.86421127617, Bx, [-0.21524198], [0.408569]   , [-0.88698493], By, [0.06812036] , [0.52290662] , [0.84966363] , Bz, [-0.91564065], [0.3814583]  , [0.12685328]
Time, 01/02/2024 15:06:06, X, -558846.3354439666 , Y, -3722351.6287015765, Z,    4881372.675639374 , Lat,  0.9139220255391549 , Lon, -1.719815955953936    , Alt, -206909.63135556132, Bx, [0.54979777] , [-0.622737]  , [-0.55670552], By, [-0.29693156], [0.84050564] , [-0.45319081], Bz, [-0.72360627], [-0.47281561], [0.50283135]
Time, 01/02/2024 15:06:07, X, -681433.43376043   , Y, -3795420.9755456527, Z,    4888271.264602905 , Lat,  0.9028917941664463 , Lon, -1.748444572173864    , Alt, -144864.13073076867, Bx, [0.59740989] , [-0.51042563], [-0.61852009], By, [-0.6448058] , [0.56148252] , [-0.5186163] , Bz, [-0.15822151], [-0.13874164], [0.97760765]
Time, 01/02/2024 15:06:08, X, -829408.4973117473 , Y, -3832959.386071094 , Z,    4955530.1722486075, Lat,  0.9013382685758701 , Lon, -1.7838993010106385   , Alt, -51444.9999426594  , Bx, [-0.48710449], [-0.86439992], [0.12466754] , By, [-0.74204523], [-0.06455641], [0.66723411] , Bz, [-0.18279783], [0.40758977] , [0.89468181]
Time, 01/02/2024 15:06:09, X, -932625.8750515453 , Y, -3985744.356579317 , Z,    5001729.169971324 , Lat,  0.884937577589254  , Lon, -1.8006512997374866   , Alt, 92222.39974469412  , Bx, [0.34253949] , [-0.89535741], [0.28460815] , By, [0.94604998] , [0.08857632] , [0.3116788]  , Bz, [0.48124024] , [-0.87375798], [0.0703905]
Time, 01/02/2024 15:06:10, X, -1079670.4890548396, Y, -4104900.832296744 , Z,    5161216.337519221 , Lat,  0.8825534270684849 , Lon, -1.8279909533879204   , Alt, 311368.8382639978  , Bx, [-0.01523801], [-0.96229283], [0.27158849] , By, [-0.47845998], [0.64603679] , [0.59473735] , Bz, [-0.18251828], [0.09414573] , [0.97868466]
Time, 01/02/2024 15:06:11, X, -1143852.7038568135, Y, -4127154.5652627056, Z,    5293696.063812646 , Lat,  0.8905764245289791 , Lon, -1.8411629335930817   , Alt, 438186.576215609   , Bx, [0.30173646] , [0.90689563] , [-0.29410104], By, [0.46622814] , [-0.87225449], [-0.14765986], Bz, [0.68201066] , [0.73134222] , [0.00011135]
Time, 01/02/2024 15:06:12, X, -1155486.200591728 , Y, -4067020.3529368257, Z,    5395536.257818155 , Lat,  0.9061315116199182 , Lon, -1.8476132990563325   , Alt, 483751.229650178   , Bx, [-0.23512866], [0.7106152]  , [0.66312936] , By, [-0.05673842], [-0.9751043] , [-0.21436501], Bz, [0.5642937]  , [0.78934647] , [-0.2418776]
Time, 01/02/2024 15:06:13, X, -1163015.227702492 , Y, -3893969.818768369 , Z,    5460999.174409622 , Lat,  0.9310335854274079 , Lon, -1.8610332606573934   , Alt, 436210.6881048875  , Bx, [-0.248599]  , [0.95106741] , [-0.183492]  , By, [0.66494077] , [-0.74517325], [-0.05070101], Bz, [0.22547546] , [0.91574437] , [-0.33252527]
Time, 01/02/2024 15:06:14, X, -1177180.7839984773, Y, -3804673.474503566 , Z,    5367259.938661296 , Lat,  0.9324208218654303 , Lon, -1.870858061415098    , Alt, 312470.2135166852  , Bx, [-0.51375476], [0.78348699] , [-0.34957715], By, [-0.83107497], [-0.25091639], [-0.49634198], Bz, [-0.04870921], [-0.20164075], [-0.97824763]
Time, 01/02/2024 15:06:15, X, -1272713.8219637766, Y, -3817684.347500775 , Z,    5483360.981843171 , Lat,  0.9376788329639694 , Lon, -1.8925828018865527   , Alt, 430599.9519943958  , Bx, [-0.43207447], [0.11086341] , [0.89499774] , By, [0.80317636] , [0.47179226] , [-0.3637579] , Bz, [-0.35281733], [-0.59394736], [0.72301208]
Time, 01/02/2024 15:06:16, X, -1533862.9489362398, Y, -3687388.3094662977, Z,    5592962.622474737 , Lat,  0.9506986673149697 , Lon, -1.9649983218826668   , Alt, 501466.7323536454  , Bx, [-0.751673]  , [0.3594627]  , [-0.55296859], By, [0.41248755] , [-0.03147652], [0.91041927] , Bz, [-0.86986881], [0.46878742] , [0.15351419]
Time, 01/02/2024 15:06:17, X, -1523989.420622923 , Y, -3713647.3764946684, Z,    5721122.407804033 , Lat,  0.9589680116334847 , Lon, -1.9602148674414819   , Alt, 617917.0975333322  , Bx, [0.43014123] , [0.38558273] , [0.81627476] , By, [0.22808202] , [0.42150662] , [-0.87767349], Bz, [0.88788346] , [-0.45969853], [0.01844525]
Time, 01/02/2024 15:06:18, X, -1836858.075048644 , Y, -3684194.125426808 , Z,    5997162.121177152 , Lat,  0.9692266304017094 , Lon, -2.0333056750220813   , Alt, 903152.0089549161  , Bx, [-0.97567931], [0.1806055]  , [0.12422376] , By, [0.22138228] , [-0.59936133], [-0.76925671], Bz, [-0.85496148], [0.02694752] , [0.51799103]
Time, 01/02/2024 15:06:19, X, -1864637.5744721037, Y, -3867016.70831765  , Z,    6261336.668340141 , Lat,  0.9697649263682284 , Lon, -2.0200948549815925   , Alt, 1220773.730877514  , Bx, [-0.63383363], [-0.27127925], [-0.7243359] , By, [-0.21649937], [0.1453144]  , [-0.96540756], Bz, [0.69614581] , [-0.71767795], [0.01787091]
Time, 01/02/2024 15:06:20, X, -2137720.933378593 , Y, -3782085.896905305 , Z,    6353845.636424092 , Lat,  0.9710617283189604 , Lon, -2.0852516894673556   , Alt, 1326101.9801013758 , Bx, [-0.29003398], [0.71036784] , [-0.64129387], By, [0.78861253] , [-0.18156363], [-0.58747334], Bz, [-0.52350007], [0.63526149] , [-0.56779443]
Time, 01/02/2024 15:06:21, X, -2261830.706547116 , Y, -3507741.3690889347, Z,    6337441.045936846 , Lat,  0.988409718154815  , Lon, -2.1435151887403325   , Alt, 1217365.2171085207 , Bx, [0.98713657] , [0.14299412] , [0.07151281] , By, [0.25731075] , [0.37743421] , [-0.88956989], Bz, [0.29680845] , [0.80379981] , [-0.51556824]
Time, 01/02/2024 15:06:22, X, -2482166.7742711557, Y, -3531020.070080403 , Z,    6115603.5758072585, Lat,  0.9562135529635473 , Lon, -2.183506278745173    , Alt, 1114309.7281964766 , Bx, [-0.86777932], [-0.48626686], [0.10248704] , By, [0.29207463] , [0.93747153] , [0.18931334] , Bz, [-0.16106944], [-0.61652009], [-0.77068776]
Time, 01/02/2024 15:06:23, X, -3009289.655951132 , Y, -3680166.979442208 , Z,    6011419.787025612 , Lat,  0.9016844897591466 , Lon, -2.2562399430494233   , Alt, 1292982.0645558871 , Bx, [-0.55927644], [-0.81292868], [0.16234783] , By, [-0.35938143], [0.93017368] , [-0.07497943], Bz, [-0.8265314] , [-0.55600179], [0.08779433]
Time, 01/02/2024 15:06:24, X, -3360297.1958408616, Y, -4130641.3001456293, Z,    5912719.705300617 , Lat,  0.8376654481230743 , Lon, -2.253717926108397    , Alt, 1586012.5743456604 , Bx, [0.51808032] , [0.7812714]  , [-0.34814908], By, [-0.10791668], [-0.84297229], [0.52702154] , Bz, [0.21104549] , [-0.97403773], [0.08191641]
Time, 01/02/2024 15:06:25, X, -3585791.627562884 , Y, -4798978.295316521 , Z,    5646948.632715859 , Lat,  0.7558716055128802 , Lon, -2.2125023632798966   , Alt, 1861625.5311261825 , Bx, [-0.18476108], [0.95210668] , [-0.2436313] , By, [0.17065191] , [-0.85304043], [-0.49315307], Bz, [0.40236676] , [-0.83077691], [-0.38459163]
Time, 01/02/2024 15:06:26, X, -3899679.7102706544, Y, -5351044.618483005 , Z,    4998692.759662958 , Lat,  0.646658417139682  , Lon, -2.200571081847177    , Alt, 1925270.8283420587 , Bx, [-0.00029906], [0.67845508] , [-0.73464183], By, [-0.71238937], [0.67061185] , [0.20683602] , Bz, [-0.08470816], [0.07971317] , [-0.99321213]
Time, 01/02/2024 15:06:27, X, -4272089.308761256 , Y, -5516222.478301315 , Z,    4697127.966287785 , Lat,  0.5925285003848932 , Lon, -2.229768445561511    , Alt, 2039854.2148720995 , Bx, [-0.22752067], [-0.27226342], [0.93493688] , By, [0.62975732] , [-0.35155115], [0.69268861] , Bz, [-0.1364172] , [0.87999259] , [0.45497625]
Time, 01/02/2024 15:06:28, X, -4895451.833655825 , Y, -6129907.438567361 , Z,    4543571.159389389 , Lat,  0.5249707339168732 , Lon, -2.244693760322038    , Alt, 2694608.2389149535 , Bx, [-0.13489107], [0.98730887] , [-0.08381881], By, [-0.88634023], [-0.21030633], [0.41251938] , Bz, [-0.54236257], [-0.68355343], [0.48846448]
Time, 01/02/2024 15:06:29, X, -5423408.861764001 , Y, -6067565.536280695 , Z,    4194865.510091944 , Lat,  0.4759388892534482 , Lon, -2.3001954794241315   , Alt, 2784632.7944430187 , Bx, [-0.41557806], [0.74956469] , [-0.51521613], By, [-0.6611147] , [-0.24247484], [0.71002345] , Bz, [0.0637125]  , [0.9861932]  , [-0.15285187]
Time, 01/02/2024 15:06:30, X, -5443024.74360739  , Y, -6049704.960243563 , Z,    3798395.321031702 , Lat,  0.4366985725799952 , Lon, -2.303455267284252    , Alt, 2609715.7554592155 , Bx, [0.86839243] , [-0.46920153], [-0.16045098], By, [0.79582384] , [-0.24212067], [-0.5550153] , Bz, [0.95367902] , [0.25002719] , [-0.1672804]
Time, 01/02/2024 15:06:31, X, -5995472.226620954 , Y, -6181650.851704804 , Z,    3894311.551790437 , Lat,  0.42469895609817865, Lon, -2.3409064686390844   , Alt, 3080145.800111985  , Bx, [0.39663077] , [0.88316096] , [0.25042114] , By, [-0.81645439], [0.42317806] , [0.3928391]  , Bz, [-0.58630894], [-0.17939318], [0.78997463]
Time, 01/02/2024 15:06:32, X, -6843530.930509748 , Y, -5967560.158880698 , Z,    4109884.10291001  , Lat,  0.4250408387849951 , Lon, -2.424464198680881    , Alt, 3595786.7031484265 , Bx, [0.46856592] , [0.17306008] , [0.86631183] , By, [-0.12261661], [0.9837988]  , [0.13078645] , Bz, [-0.68253119], [0.56885808] , [0.45885908]
Time, 01/02/2024 15:06:33, X, -7981022.878736537 , Y, -6122550.799298389 , Z,    4689999.711145687 , Lat,  0.43628634579625936, Lon, -2.4872127616371458   , Alt, 4727578.817643816  , Bx, [0.83969949] , [-0.53352177], [0.10128811] , By, [0.93662403] , [0.04756234] , [0.34709255] , Bz, [-0.4712425] , [-0.44665262], [0.76054713]
Time, 01/02/2024 15:06:34, X, -9403432.591874164 , Y, -5749681.492439355 , Z,    4832144.799830373 , Lat,  0.41317488002822045, Lon, -2.592800213121721    , Alt, 5663658.497063747  , Bx, [0.93249076] , [0.21200516] , [-0.29242914], By, [0.51316455] , [-0.77916037], [-0.35996007], Bz, [-0.65996901], [0.63507115] , [-0.40140446]
Time, 01/02/2024 15:06:35, X, -10811459.302641762, Y, -4796626.34336837  , Z,    5009679.50795463  , Lat,  0.4006449291245069 , Lon, -2.724022460378173    , Alt, 6473927.609877568  , Bx, [0.50170244] , [0.76297841] , [0.40762557] , By, [-0.03472781], [-0.99897177], [0.02914399] , Bz, [-0.19562465], [0.96808496] , [-0.15666049]
Time, 01/02/2024 15:06:36, X, -12538309.021427803, Y, -3599781.041183247 , Z,    5824465.414443008 , Lat,  0.41993621351630805, Lon, -2.8620099357532247   , Alt, 7915077.629122799  , Bx, [-0.18327768], [0.86512248] , [-0.46687513], By, [0.18347359] , [-0.48452057], [-0.8553229] , Bz, [-0.37958028], [0.52841014] , [0.75940867]
Time, 01/02/2024 15:06:37, X, -14270140.215442037, Y, -2106771.5111987097, Z,    7145421.417653513 , Lat,  0.4599255697890219 , Lon, -2.9950165068901113   , Alt, 9726590.975193653  , Bx, [-0.5008788] , [0.11745781] , [-0.8575104] , By, [0.3842478]  , [0.90719435] , [-0.17132439], Bz, [-0.07092496], [0.57155673] , [0.81749163]
Time, 01/02/2024 15:06:38, X, -15783960.748826154, Y, 48932.51950033009  , Z,    8645171.708561659 , Lat,  0.5010880820581207 , Lon, -0.0031001320592709547, Alt, 11625522.03017195  , Bx, [0.7557797]  , [0.54465993] , [-0.36351426], By, [0.32553076] , [-0.85860838], [-0.39600678], Bz, [0.34917992] , [0.84492071] , [0.40519426]
Time, 01/02/2024 15:06:40, X, -17888050.97344064 , Y, 2580907.4292473127 , Z,   10463093.372812742 , Lat,  0.5247798362385543 , Lon, -0.14329224030439036  , Alt, 14512480.881188188 , Bx, [0.57115285] , [0.18207024] , [-0.80039668], By, [0.16809687] , [0.75063612] , [0.63897485] , Bz, [-0.55556358], [0.65138976] , [0.51675961]
Time, 01/02/2024 15:06:41, X, -20866829.240412727, Y, 5126683.366600037  , Z,   12096784.055578321 , Lat,  0.5127476386442869 , Lon, -0.24091412388389877  , Alt, 18287459.59051804  , Bx, [-0.32577905], [0.94297402] , [0.06832276] , By, [0.60381839] , [-0.59365167], [-0.53195962], Bz, [-0.98976694], [0.04029198] , [-0.13688665]
Time, 01/02/2024 15:06:42, X, -23794269.61243578 , Y, 8467194.765216582  , Z,   14394338.275653712 , Lat,  0.5180229038902198 , Lon, -0.3418770112228904   , Alt, 22698874.92190748  , Bx, [-0.67803162], [-0.6319281] , [0.37541977] , By, [-0.65960598], [-0.59750534], [-0.45596854], Bz, [-0.22592697], [0.78803374] , [0.57267778]
Time, 01/02/2024 15:06:43, X, -25943693.695459124, Y, 11311769.671139993 , Z,   16961337.681024704 , Lat,  0.5398955579765783 , Lon, -0.4111610708944138   , Alt, 26624732.32383965  , Bx, [-0.60050244], [-0.21695218], [0.76962885] , By, [-0.35642749], [0.49993346] , [0.78931995] , Bz, [0.84690645] , [-0.33388885], [0.41384502]
Time, 01/02/2024 15:06:44, X, -27832301.36521142 , Y, 13767793.66269898  , Z,   18712863.934895724 , Lat,  0.5423596245262399 , Lon, -0.4593742114366304   , Alt, 29883108.984617516 , Bx, [-0.82186601], [-0.18400442], [-0.53914621], By, [0.57325196] , [0.36119448] , [0.73547314] , Bz, [0.59328156] , [-0.4958799] , [-0.63412941]
Time, 01/02/2024 15:06:45, X, -29688778.52605404 , Y, 16115984.519307736 , Z,   19817615.73753404  , Lat,  0.5305467350551718 , Lon, -0.49732239850196613  , Alt, 32793862.06941384  , Bx, [-0.66415702], [0.74653869] , [-0.03969177], By, [0.79090311] , [-0.60766621], [0.07220832] , Bz, [0.27546513] , [-0.36554181], [-0.88909963]
Time, 01/02/2024 15:06:46, X, -31177265.80486121 , Y, 17779076.446962547 , Z,   21992805.425519988 , Lat,  0.5497618736920202 , Lon, -0.5182630256144263   , Alt, 35721766.039530925 , Bx, [0.89023654] , [0.01970906] , [-0.45507193], By, [0.78498776] , [-0.48035913], [-0.39121519], Bz, [0.36689142] , [-0.69926882], [0.61352571]
Time, 01/02/2024 15:06:47, X, -34012697.97486079 , Y, 19651273.530725878 , Z,   24044910.484166984 , Lat,  0.5492821387547799 , Lon, -0.5239081606104294   , Alt, 39685420.780387506 , Bx, [-0.04327098], [-0.94440948], [-0.32591158], By, [0.6675956]  , [0.34640586] , [0.6590289]  , Bz, [-0.990214]  , [-0.10087094], [0.0964432]
Time, 01/02/2024 15:06:48, X, -37020116.88556135 , Y, 22583735.735846218 , Z,   26441777.737983946 , Lat,  0.5475583393583572 , Lon, -0.5477688433483907   , Alt, 44419567.86404445  , Bx, [-0.16089925], [-0.03133039], [-0.98647343], By, [-0.55377141], [-0.68743549], [0.46986134] , Bz, [-0.36505017], [0.86977711] , [0.33200326]
Time, 01/02/2024 15:06:49, X, -39899176.905405626, Y, 26331099.800196473 , Z,   28928389.03675188  , Lat,  0.5441898550598905 , Lon, -0.5833318573447643   , Alt, 49504959.29090101  , Bx, [-0.03209934], [-0.90070564], [-0.43324241], By, [-0.4662541] , [-0.53364869], [0.70556799] , Bz, [0.00827451] , [0.98396124] , [0.17819036]
Time, 01/02/2024 15:06:50, X, -41822333.43961061 , Y, 30170096.83249881  , Z,   32185485.960578527 , Lat,  0.5579712708406557 , Lon, -0.6249360582419312   , Alt, 54417550.103904635 , Bx, [-0.95747258], [-0.28422187], [-0.04964048], By, [0.44189718] , [-0.54518502], [-0.71239047], Bz, [0.78581751] , [0.2712434]  , [0.55580379]
Time, 01/02/2024 15:06:51, X, -44824999.9865001  , Y, 35129879.40202962  , Z,   35200112.51161304  , Lat,  0.5536074851486892 , Lon, -0.6647298744488754   , Alt, 60580004.25998923  , Bx, [-0.21906267], [-0.73443875], [-0.64234824], By, [-0.16248707], [0.09538569] , [0.98208937] , Bz, [-0.50358493], [0.86093429] , [0.0720719]
Time, 01/02/2024 15:06:52, X, -46954950.87290395 , Y, 39434277.574356504 , Z,   37245411.78760558  , Lat,  0.5458571268293668 , Lon, -0.6985614083372411   , Alt, 65371946.40253165  , Bx, [0.67634683] , [0.20434099] , [-0.70767205], By, [-0.05849007], [-0.81768079], [-0.5726928] , Bz, [0.48619176] , [-0.33989448], [-0.80503995]
Time, 01/02/2024 15:06:53, X, -49455649.48371839 , Y, 45068295.59942215  , Z,   38882699.342380315 , Lat,  0.5264178871798597 , Lon, -0.7390161881661541   , Alt, 71016833.9420561   , Bx, [-0.80416126], [0.30566511] , [0.50979752] , By, [-0.965442]  , [0.24739687] , [0.0819545]  , Bz, [-0.04776985], [0.81606631] , [-0.57598074]
Time, 01/02/2024 15:06:54, X, -50788622.45524611 , Y, 50783079.8160415   , Z,   41607757.836714335 , Lat,  0.5250728734423775 , Lon, -0.7853435946634884   , Alt, 76632679.91060778  , Bx, [0.46016362] , [0.8784948]  , [-0.12843804], By, [-0.01585107], [0.88430944] , [0.46663214] , Bz, [0.75607699] , [0.24871579] , [0.60538256]
Time, 01/02/2024 15:06:55, X, -53801171.659547   , Y, 57441112.53503141  , Z,   44169006.70386203  , Lat,  0.5114138603783969 , Lon, -0.8181073323743124   , Alt, 83878369.16349052  , Bx, [-0.5070885] , [0.86075392] , [0.04431635] , By, [0.63199266] , [0.15693446] , [0.75891821] , Bz, [-0.76179302], [0.6397032]  , [0.10223111]
Time, 01/02/2024 15:06:56, X, -56822221.46438754 , Y, 63233563.94674477  , Z,   45376627.39974696  , Lat,  0.490289157208184  , Lon, -0.8387505117894829   , Alt, 89994381.62499243  , Bx, [0.26224912] , [0.37789471] , [-0.88793073], By, [-0.80740372], [0.42877235] , [0.405282]   , Bz, [-0.3080569] , [-0.33694791], [-0.88970054]
Time, 01/02/2024 15:06:57, X, -60369148.079136856, Y, 70791929.82751551  , Z,   47008358.466108985 , Lat,  0.4678497761946434 , Lon, -0.8646970340641449   , Alt, 97867750.6361374   , Bx, [-0.8636701] , [0.06577922] , [-0.49974699], By, [0.38200412] , [0.29519682] , [0.87574636] , Bz, [-0.38200599], [0.92365336] , [-0.03059225]
Time, 01/02/2024 15:06:58, X, -63634521.37733453 , Y, 79379882.71314982  , Z,   49703278.21188708  , Lat,  0.45444115653153494, Lon, -0.8950528696467162   , Alt, 106858563.08086734 , Bx, [0.47635034] , [-0.22743305], [0.84933183] , By, [-0.56628776], [0.20014558] , [-0.79953731], Bz, [0.03456322] , [0.84453469] , [0.53438426]
